  Order ID     Order Date    Order Priority Order Quantity     Sales       Ship Mode     Shipping Cost         Province          Customer Segment    Product Category      Product Sub-Category      Product Container    Ship Date
   12803        2/24/2017    Not Specified        32           410.68     Regular Air         5.1            New Brunswick         Home Office       Office Supplies      Storage & Organization         Small Box        2/26/2017
   56901        9/10/2016       Critical          36           107.73     Regular Air         2.6             Nova Scotia           Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        9/12/2016
    1059        2/26/2016       Critical          24          1059.41     Regular Air          8                Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        2/27/2016
    4487        2/21/2017        Medium           50           348.01     Regular Air         5.6             Nova Scotia         Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        2/22/2017
   38017        7/19/2017         Low             26           131.09     Regular Air         0.9          British Columbia        Home Office       Office Supplies               Paper                  Wrap Bag        7/23/2017
   53312        7/3/2016         Medium           30           112.83     Regular Air          8                Ontario            Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        7/4/2016
   43650        3/22/2016    Not Specified         7           94.79      Regular Air         6.2             Saskachewan           Corporate        Office Supplies        Pens & Art Supplies          Small Pack       3/24/2016
   40832        3/28/2017         High            22           478.54     Regular Air         7.1            New Brunswick        Small Business        Furniture           Office Furnishings           Small Pack       3/29/2017
   53476        6/10/2016    Not Specified        24           100.42     Regular Air         0.7               Ontario           Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag        6/13/2016
   21636        8/9/2016          Low              6           42.86      Regular Air          5                Ontario            Home Office       Office Supplies      Storage & Organization         Small Box        8/14/2016
   11456        4/11/2017         Low             15          1626.29     Regular Air         26.2       Northwest Territories      Corporate           Furniture           Office Furnishings           Large Box        4/18/2017
    3655        10/5/2019       Critical           3           66.92      Regular Air         14.1              Alberta           Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        10/5/2019
   24098        4/17/2019       Critical          42           213.55     Regular Air         1.6            New Brunswick        Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        4/18/2019
    8834        11/7/2017         High            45          7156.28     Regular Air          15            New Brunswick           Consumer           Technology            Office Machines            Medium Box       11/8/2017
   43270        9/1/2019        Critical          35           367.99     Regular Air         1.1               Quebec               Consumer        Office Supplies              Labels                 Small Box        9/3/2019
   54560        7/15/2016       Critical          22           646.69     Regular Air         2.1          British Columbia       Small Business        Technology         Computer Peripherals          Small Pack       7/18/2016
    9573        6/13/2019        Medium           41           142.56     Regular Air         2.1          British Columbia        Home Office       Office Supplies   Scissors, Rulers and Trimmers      Wrap Bag        6/14/2019
    9254        5/13/2017        Medium           24           140.87     Express Air         0.5             Saskachewan            Consumer        Office Supplies              Labels                 Small Box        5/15/2017
   52327       12/19/2018        Medium           27          4123.21     Regular Air          7                Ontario            Home Office          Technology         Computer Peripherals          Small Box       12/20/2018
   48900        3/21/2016    Not Specified        42           680.88     Regular Air         4.8             Saskachewan         Small Business     Office Supplies      Storage & Organization         Small Box        3/22/2016
   48385        9/17/2016        Medium           16          94.4168     Regular Air         4.9               Alberta           Small Business        Technology         Computer Peripherals          Small Pack       9/19/2016
   49442        8/9/2019          High            11           140.3      Regular Air         7.7               Alberta             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        8/9/2019
   33570       12/16/2019    Not Specified        19          3310.43     Regular Air         5.6          British Columbia         Corporate           Technology     Telephones and Communication      Small Box       12/16/2019
    9126       11/16/2016        Medium           47          2995.68     Regular Air         4.3        Northwest Territories      Corporate        Office Supplies            Appliances               Small Box       11/17/2016
   56006        9/30/2018       Critical          16           110.2      Regular Air         10.4         British Columbia       Small Business     Office Supplies               Paper                 Small Box        9/30/2018
   37920        7/13/2017       Critical          48           443.43     Regular Air         9.6               Ontario             Corporate           Technology         Computer Peripherals          Small Pack       7/15/2017
   11047        12/9/2017         Low             24          11213.89   Delivery Truck       69.1           New Brunswick         Home Office          Furniture                 Tables                 Jumbo Box       12/11/2017
   11877        5/22/2017    Not Specified        31          152.9672    Regular Air         1.6             Nova Scotia            Consumer        Office Supplies               Paper                  Wrap Bag        5/24/2017
   51426       11/30/2017        Medium           41            382       Regular Air         2.1             Saskachewan            Consumer           Technology         Computer Peripherals          Small Pack       12/1/2017
   56001        4/11/2017         Low             17           126.65     Express Air         7.9          British Columbia        Home Office       Office Supplies               Paper                 Small Box        4/15/2017
   16326        5/9/2017          High            39         1646.0131    Regular Air         2.1               Ontario             Corporate           Technology         Computer Peripherals          Small Pack       5/11/2017
   41760        1/26/2019         Low             21          7156.87     Regular Air         21.4              Alberta           Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        1/31/2019
    9892        7/16/2019        Medium           50           1505.1     Regular Air         8.8          British Columbia         Corporate        Office Supplies             Envelopes               Small Box        7/17/2019
   45158        4/9/2017          Low             15           68.31      Express Air         0.8          British Columbia         Corporate        Office Supplies           Rubber Bands               Wrap Bag        4/14/2017
   20390        8/30/2016    Not Specified        17            62.6      Regular Air         2.1               Ontario            Home Office       Office Supplies   Scissors, Rulers and Trimmers      Wrap Bag        9/1/2016
   11907        8/22/2017         Low             45          5060.94    Delivery Truck        15          British Columbia        Home Office          Technology            Office Machines            Jumbo Drum       8/22/2017
   21985        8/25/2016       Critical           1           273.74    Delivery Truck       30.1           New Brunswick          Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       8/26/2016
   24387        8/9/2018        Critical          17          6471.55    Delivery Truck       64.2       Northwest Territories    Small Business        Furniture                 Tables                 Jumbo Drum       8/9/2018
   50210        7/18/2017         Low             15           33.51      Regular Air         2.8          British Columbia        Home Office       Office Supplies           Rubber Bands               Wrap Bag        7/27/2017
   20166        3/3/2016          Low              6          1042.03     Regular Air         9.6              Manitoba             Corporate           Technology     Telephones and Communication      Small Box        3/7/2016
    8704        6/29/2018        Medium           43           480.61     Regular Air         1.2            New Brunswick         Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        6/30/2018
   31847       12/17/2016         Low             46          1810.74     Regular Air         4.3             Saskachewan         Small Business        Technology         Computer Peripherals          Small Box       12/21/2016
    1154        2/13/2019       Critical           7           552.82     Express Air         3.7            Newfoundland          Home Office       Office Supplies            Appliances               Small Box        2/14/2019
    4257        3/23/2018        Medium           45           271.66     Regular Air         5.7          British Columbia          Consumer        Office Supplies             Envelopes               Small Box        3/25/2018
   41255       10/17/2016         Low             22          1426.51     Regular Air         13.1              Alberta             Corporate           Furniture           Office Furnishings           Medium Box      10/24/2016
   16547        2/18/2016    Not Specified        30         11293.4541  Delivery Truck        63        Northwest Territories      Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       2/20/2016
   36293       12/29/2017        Medium           25           176.94     Express Air          8         Prince Edward Island     Small Business     Office Supplies               Paper                 Small Box        1/13/2018
    2978        5/1/2018        Critical          28          4998.13     Regular Air         4.5               Ontario             Corporate           Technology     Telephones and Communication      Small Box        5/2/2018
   26176       11/18/2018         High            14           100.92     Regular Air         8.8              Manitoba            Home Office       Office Supplies               Paper                 Small Box       11/20/2018
   48391       10/28/2017    Not Specified        45           272.76     Regular Air         5.8             Saskachewan           Corporate        Office Supplies               Paper                 Small Box       10/29/2017
    9637        1/3/2016          Low             12           132.42     Regular Air         2.4             Saskachewan           Corporate        Office Supplies               Paper                  Wrap Bag        1/7/2016
   55968        9/30/2019         Low             40           78.77      Regular Air         1.1               Quebec             Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        10/2/2019
   53412        9/14/2016       Critical          45          2722.86     Regular Air         11.9             Manitoba           Small Business        Furniture           Office Furnishings           Medium Box       9/15/2016
   53445       10/24/2019         High            21           78.97      Regular Air         1.4               Ontario           Small Business     Office Supplies           Rubber Bands               Wrap Bag       10/26/2019
   18402        8/28/2016         Low              3          59.9949     Regular Air         15.4               Yukon              Corporate           Furniture           Office Furnishings           Large Box        8/28/2016
   41312        1/30/2019    Not Specified        21           842.76     Regular Air         2.1               Ontario              Consumer           Technology         Computer Peripherals          Small Pack       1/31/2019
   50854       12/16/2018       Critical          27           147.13     Regular Air         5.3               Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box       12/16/2018
   47270        8/1/2017        Critical          19          3808.79     Regular Air         3.2             Saskachewan          Home Office          Technology     Telephones and Communication      Small Box        8/3/2017
   45763        7/6/2017          High            25           72.17      Regular Air         0.5          British Columbia         Corporate        Office Supplies              Labels                 Small Box        7/7/2017
   51392       11/11/2016        Medium           10           272.73     Regular Air         6.3              Manitoba           Small Business        Technology         Computer Peripherals          Small Box       11/12/2016
   59552        1/12/2017    Not Specified        39           336.26     Regular Air         6.7               Ontario            Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        1/13/2017
   46311        7/24/2018         High            42         1050.4511    Regular Air         3.9             Saskachewan            Consumer           Furniture           Office Furnishings           Small Pack       7/25/2018
    2754        4/1/2016          High            11           534.21     Express Air         6.3               Ontario            Home Office       Office Supplies               Paper                 Small Box        4/3/2016
   59553       11/11/2017    Not Specified        42          2322.23     Regular Air         9.6          British Columbia       Small Business        Technology     Telephones and Communication      Small Box       11/13/2017
   55908        5/22/2016         High            44          1974.12     Regular Air         3.2               Quebec              Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        5/23/2016
   56099        10/4/2017         Low              6           102.75     Regular Air          12             Saskachewan           Corporate        Office Supplies      Storage & Organization         Small Box       10/11/2017
   44960        5/2/2018          Low             22           193.58     Regular Air         6.6               Ontario              Consumer        Office Supplies   Scissors, Rulers and Trimmers     Small Pack       5/2/2018
   22434        8/29/2019       Critical           3           20.01      Regular Air         6.2               Ontario              Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        8/31/2019
   49221        7/2/2017     Not Specified        41          296.7645    Regular Air          7                Ontario             Corporate        Office Supplies               Paper                 Small Box        7/3/2017
   28225        1/22/2016       Critical          13          1241.83     Regular Air         37.5              Ontario             Corporate        Office Supplies      Storage & Organization         Large Box        1/24/2016
   43138        3/14/2019         Low             43          1427.43     Regular Air         3.2             Saskachewan          Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        3/18/2019
   12804        5/25/2019        Medium           21           73.89      Regular Air         0.5             Saskachewan          Home Office       Office Supplies              Labels                 Small Box        5/28/2019
   21831        9/18/2016    Not Specified         6           30.38      Regular Air         0.5               Alberta              Consumer        Office Supplies              Labels                 Small Box        9/18/2016
   37669       10/28/2017    Not Specified        39          9717.72     Express Air         21.4              Ontario             Corporate        Office Supplies            Appliances               Small Box       10/30/2017
   26887        5/14/2018       Critical          23           207.41     Express Air         9.6               Alberta           Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        5/14/2018
   13089       12/13/2018    Not Specified        34          3827.51    Delivery Truck       62.8              Quebec              Corporate           Furniture                Bookcases               Jumbo Box       12/16/2018
   25254        9/16/2017       Critical          35           320.66     Regular Air          6                Ontario           Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        9/18/2017
   33283        3/19/2017        Medium           48          11194.92   Delivery Truck       74.5              Alberta            Home Office          Furniture                 Tables                 Jumbo Box        3/19/2017
    3395       10/28/2016    Not Specified         7           115.43     Regular Air         1.5          British Columbia          Consumer        Office Supplies             Envelopes               Small Box       10/29/2016
   23809        6/4/2019     Not Specified         7           92.67      Regular Air         1.6            New Brunswick         Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        6/6/2019
   22534        7/17/2018        Medium            3           298.88     Regular Air         21.4         British Columbia         Corporate        Office Supplies             Envelopes               Small Box        7/19/2018
   23781       10/30/2018       Critical          30           214.26     Regular Air         6.2             Saskachewan          Home Office       Office Supplies               Paper                 Small Box        11/1/2018
   54592        6/11/2018         Low             34           165.24     Regular Air         7.4               Quebec            Small Business        Furniture           Office Furnishings           Small Box        6/13/2018
   53671        6/9/2018         Medium           39           659.66     Regular Air          9                Ontario           Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        6/10/2018
   49889       12/12/2019       Critical          21           66.28      Express Air         2.2               Ontario            Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag       12/14/2019
   26464       12/10/2018         High            25           287.38     Regular Air         4.8                Yukon              Corporate        Office Supplies            Appliances               Small Box       12/10/2018
   39265        5/6/2017        Critical          47           211.95     Regular Air          1                Ontario             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        5/7/2017
   54564        12/5/2017         High            27          1662.64     Express Air         6.3          British Columbia         Corporate           Technology     Telephones and Communication      Small Box        12/7/2017
   30405        4/28/2019         Low              7          2984.26    Delivery Truck       45.5            Saskachewan          Home Office          Furniture                 Tables                 Jumbo Box        5/3/2019
   26913        9/28/2016         High            11          687.9185    Regular Air         9.6             Saskachewan            Consumer           Technology     Telephones and Communication      Small Box        9/30/2016
   51140        9/14/2019         Low             14           670.17     Regular Air         2.1               Ontario             Corporate           Technology         Computer Peripherals          Small Pack       9/18/2019
   44516        6/28/2018       Critical          17           62.02      Regular Air         4.2               Alberta           Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag        6/28/2018
    835         10/6/2018    Not Specified        18           133.92     Regular Air         5.5               Ontario           Small Business     Office Supplies               Paper                 Small Box        10/7/2018
   40519       12/20/2017       Critical          38           88.74      Regular Air         1.5               Alberta           Small Business     Office Supplies           Rubber Bands               Wrap Bag       12/22/2017
   41413       11/15/2018         Low             23           167.46     Regular Air         6.4          British Columbia         Corporate        Office Supplies               Paper                 Small Box       11/19/2018
   28258        3/12/2016       Critical           2           215.26     Regular Air         2.7               Ontario            Home Office          Technology     Telephones and Communication      Small Box        3/12/2016
   14883        5/5/2018          Low             47          5485.27     Regular Air         2.7               Alberta             Corporate           Technology     Telephones and Communication      Small Box        5/14/2018
   51461        2/9/2018     Not Specified        43           918.63     Regular Air          12              Manitoba             Corporate           Furniture           Office Furnishings           Large Box        2/11/2018
   42758       11/10/2019       Critical          42           682.73     Regular Air         2.1               Quebec             Home Office       Office Supplies               Paper                  Wrap Bag       11/11/2019
   31781        1/16/2016        Medium           41          83.9843     Regular Air         0.8        Northwest Territories      Corporate        Office Supplies           Rubber Bands               Wrap Bag        1/17/2016
   28934       11/28/2019        Medium           12          1361.41     Regular Air         7.7               Alberta              Consumer           Technology         Computer Peripherals          Small Box       11/29/2019
   20453        3/9/2018         Medium           17          1276.64     Express Air         1.1               Ontario            Home Office          Technology     Telephones and Communication       Wrap Bag        3/11/2018
    8006        6/2/2018         Medium           27           210.95     Express Air         5.6               Ontario              Consumer        Office Supplies               Paper                 Small Box        6/4/2018
   52293        4/14/2018         High             4           33.32      Regular Air         6.3               Alberta              Consumer        Office Supplies               Paper                 Small Box        4/15/2018
   26373        7/21/2017        Medium            7           305.04     Regular Air         5.7          British Columbia       Small Business     Office Supplies            Appliances               Small Box        7/24/2017
   18368       11/30/2019    Not Specified        35           1364.9     Regular Air         5.4               Alberta             Corporate        Office Supplies               Paper                  Wrap Bag        12/1/2019
   19204        9/17/2016        Medium           28          1756.99     Regular Air         5.2               Ontario             Corporate        Office Supplies               Paper                 Small Box        9/19/2016
    994         4/18/2016         Low             38           141.31     Regular Air         1.7               Ontario             Corporate        Office Supplies           Rubber Bands               Wrap Bag        4/22/2016
   34497        3/9/2016         Medium           36           187.62     Regular Air         8.1              Manitoba              Consumer        Office Supplies               Paper                 Small Box        3/10/2016
   41216        6/30/2016    Not Specified        45          7345.63    Delivery Truck       31.3            Saskachewan          Home Office          Furniture                 Tables                 Jumbo Box        7/2/2016
   21671        6/14/2017         High            15          717.9058    Regular Air         2.1          British Columbia          Consumer           Technology         Computer Peripherals          Small Pack       6/17/2017
    6464        5/27/2016        Medium            1           61.89      Regular Air         4.8               Quebec               Consumer        Office Supplies            Appliances               Small Box        5/29/2016
    7815        1/22/2016       Critical           6           200.49     Regular Air         5.9             Saskachewan          Home Office          Technology         Computer Peripherals          Small Box        1/23/2016
   49798        12/8/2019       Critical           5           1524.7    Delivery Truck        61               Alberta            Home Office          Furniture           Chairs & Chairmats           Jumbo Drum       12/9/2019
   18213        9/9/2017         Medium           29          1189.02     Regular Air         21.4              Ontario             Corporate        Office Supplies               Paper                 Small Box        9/11/2017
   52070       11/30/2016    Not Specified        29           72.73      Regular Air         5.6              Manitoba             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        12/2/2016
   20807        7/21/2019    Not Specified        39           6583.2    Delivery Truck       32.1         British Columbia          Consumer           Furniture           Chairs & Chairmats           Jumbo Drum       7/23/2019
   32902        3/3/2019          High             8           68.59      Regular Air          9           British Columbia        Home Office       Office Supplies   Scissors, Rulers and Trimmers     Small Pack       3/5/2019
   33126       11/11/2018       Critical          46          6398.43     Express Air         13.5         British Columbia       Small Business        Furniture           Chairs & Chairmats           Medium Box      11/12/2018
   14182        6/21/2016         Low             23           2603.9     Regular Air         8.6             Nova Scotia         Small Business        Technology     Telephones and Communication      Small Box        6/26/2016
   22755        3/29/2016        Medium           35           200.99     Regular Air         6.1          British Columbia        Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        3/30/2016
   14693        1/8/2018        Critical          38           907.17    Delivery Truck       48.2              Ontario             Corporate        Office Supplies      Storage & Organization         Jumbo Drum       1/10/2018
   15425        7/24/2018         Low             29          3098.87     Express Air         21.4              Alberta            Home Office          Technology         Computer Peripherals          Small Box        7/28/2018
    7489        9/29/2017       Critical          38          7383.14    Delivery Truck       25.2         British Columbia        Home Office          Furniture                Bookcases               Jumbo Box        10/2/2017
    3589        5/24/2016         High            23           78.04      Regular Air         0.5             Nova Scotia          Home Office       Office Supplies              Labels                 Small Box        5/26/2016
   49824        3/21/2018         High            33          2033.24     Express Air         5.7               Quebec            Small Business        Technology     Telephones and Communication      Small Box        3/22/2018
   43079        7/20/2016        Medium           40          1266.91     Regular Air         4.3          British Columbia        Home Office          Technology         Computer Peripherals          Small Box        7/21/2016
   49891        9/11/2016    Not Specified        40           278.02     Regular Air         1.6             Nova Scotia            Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        9/13/2016
   26567        9/3/2016        Critical          48           6537.5     Regular Air         8.6        Northwest Territories      Corporate           Technology     Telephones and Communication      Small Box        9/4/2016
   52007        4/14/2019        Medium           19          11075.58   Delivery Truck       48.9              Ontario              Consumer           Furniture                 Tables                 Jumbo Box        4/15/2019
   29637        5/24/2016         High            34           640.06     Regular Air         9.1                Yukon             Home Office          Technology            Office Machines            Medium Box       5/26/2016
    1382        8/15/2017         Low             39           169.55     Regular Air         5.6            Newfoundland          Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        8/22/2017
   45284        1/6/2019          High             7          97.8301     Regular Air         9.6               Alberta              Consumer        Office Supplies        Pens & Art Supplies          Small Pack       1/7/2019
   48486        5/11/2018         High            42           290.12     Regular Air         8.5               Alberta             Corporate        Office Supplies               Paper                 Small Box        5/13/2018
   59174       12/31/2016        Medium            6          1276.62     Express Air          15              Manitoba              Consumer           Technology            Office Machines            Medium Box       1/2/2017
    1444        12/4/2016        Medium           24           445.55     Regular Air         5.3               Quebec             Home Office       Office Supplies      Storage & Organization         Small Box        12/6/2016
   53382       12/26/2016    Not Specified        15          5093.22    Delivery Truck       69.3              Ontario             Corporate           Furniture           Chairs & Chairmats           Jumbo Drum      12/27/2016
   36069        12/4/2016         Low             20           109.79     Regular Air          8                 Yukon             Home Office       Office Supplies               Paper                 Small Box        12/6/2016
   30913        9/22/2019        Medium           23          153.117     Regular Air         1.6               Alberta             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        9/23/2019
   23844        7/5/2016     Not Specified        11           35.33      Regular Air         0.5             Nova Scotia          Home Office       Office Supplies              Labels                 Small Box        7/6/2016
   12099        9/10/2016       Critical          48           330.43     Regular Air         1.1                Yukon              Corporate        Office Supplies               Paper                  Wrap Bag        9/12/2016
   13156        10/4/2018         Low             12           537.15     Regular Air         9.8               Quebec              Corporate           Furniture           Office Furnishings            Wrap Bag        10/9/2018
   31204        8/20/2017         Low             14           230.61     Regular Air         5.4          British Columbia       Small Business        Furniture           Office Furnishings           Small Pack       8/25/2017
   37441        2/24/2016       Critical          46          15772.35   Delivery Truck      176.3              Ontario            Home Office          Furniture           Chairs & Chairmats           Jumbo Drum       2/25/2016
    7782        7/1/2016        Critical          20          1290.13     Express Air         4.8             Saskachewan           Corporate        Office Supplies            Appliances               Small Box        7/3/2016
   59202        9/8/2019         Medium            7           89.68      Regular Air         0.5        Prince Edward Island        Consumer        Office Supplies              Labels                 Small Box        9/8/2019
   51011        6/5/2017          Low             41          5505.01     Regular Air         4.2          British Columbia          Consumer           Technology     Telephones and Communication      Small Box        6/7/2017
   56130       11/28/2018        Medium           13           263.28     Regular Air         9.6          British Columbia         Corporate           Furniture           Office Furnishings           Small Pack      11/30/2018
   16706        6/27/2019         High            49          6608.08     Express Air         4.2        Northwest Territories      Corporate           Technology     Telephones and Communication      Small Box        6/29/2019
   59553       11/11/2017    Not Specified        15           183.58     Regular Air         5.4          British Columbia       Small Business     Office Supplies               Paper                 Small Box       11/12/2017
   20128        8/30/2016    Not Specified        32           298.99     Regular Air         2.1               Alberta             Corporate           Technology         Computer Peripherals          Small Pack       9/1/2016
    8007        2/10/2019         Low             35           3565.3     Regular Air         21.4            Saskachewan           Corporate           Technology            Office Machines            Small Box        2/10/2019
   38341        5/17/2016        Medium           38           666.75     Regular Air         1.1             Nova Scotia           Corporate           Technology     Telephones and Communication       Wrap Bag        5/17/2016
   50656       10/24/2016       Critical          15           117.39     Regular Air         3.9          British Columbia          Consumer           Furniture           Office Furnishings            Wrap Bag       10/25/2016
   24707        3/10/2019        Medium            3            5.29      Regular Air         0.7               Ontario             Corporate        Office Supplies           Rubber Bands               Wrap Bag        3/12/2019
   51780        7/23/2017         Low             26          1975.43    Delivery Truck       64.2            Saskachewan            Consumer        Office Supplies            Appliances               Jumbo Drum       7/25/2017
   24193        3/13/2016    Not Specified        19          1526.37     Regular Air         1.1             Saskachewan         Small Business        Technology     Telephones and Communication       Wrap Bag        3/15/2016
    772         4/15/2017         High            35           630.49     Regular Air         8.7               Quebec               Consumer        Office Supplies            Appliances               Medium Box       4/17/2017
   31046        2/6/2018        Critical          42          4173.57     Regular Air         2.7               Ontario             Corporate           Technology     Telephones and Communication      Small Box        2/7/2018
   10309       11/20/2016         Low             23           530.88     Regular Air         1.6             Saskachewan         Small Business     Office Supplies   Binders and Binder Accessorie     Small Box       11/20/2016
   12452        12/6/2017        Medium            1           381.94     Regular Air         21.4              Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        12/7/2017
   13126       10/18/2018    Not Specified        45          6768.45    Delivery Truck       30.6              Alberta              Consumer           Furniture           Chairs & Chairmats           Jumbo Drum      10/20/2018
    4067        10/6/2019         High            16           126.67     Regular Air         6.5          British Columbia         Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        10/8/2019
   26277        6/26/2018        Medium           17           939.26     Regular Air         21.4         British Columbia         Corporate           Technology         Computer Peripherals          Small Box        6/27/2018
    1892        3/24/2016         Low              9           68.79      Regular Air         5.8               Ontario           Small Business     Office Supplies               Paper                 Small Box        3/24/2016
    2882        8/20/2018         High            23          4143.97    Delivery Truck       32.1              Alberta              Consumer           Furniture           Chairs & Chairmats           Jumbo Drum       8/22/2018
    3687        2/1/2017        Critical          25           84.93      Regular Air         1.4          British Columbia        Home Office       Office Supplies           Rubber Bands               Wrap Bag        2/1/2017
   30887        7/6/2017        Critical          44          4662.12     Regular Air         6.3                Yukon             Home Office          Technology     Telephones and Communication      Small Box        7/6/2017
   46627        6/10/2016       Critical           3           22.96      Regular Air         6.7               Ontario            Home Office       Office Supplies               Paper                 Small Box        6/11/2016
   32199        7/14/2016         High             8           50.26      Regular Air         1.3        Prince Edward Island       Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        7/16/2016
   29286        7/27/2016       Critical           4          13985.11   Delivery Truck       9.3               Alberta             Corporate           Technology            Office Machines            Jumbo Box        7/29/2016
   42209        3/28/2017         High            31           9524.9     Regular Air         26.2       Northwest Territories      Corporate           Furniture           Chairs & Chairmats           Large Box        3/31/2017
   53955        3/3/2018        Critical          43         5933.1393   Delivery Truck      139.1             Manitoba            Home Office          Furniture           Chairs & Chairmats           Jumbo Drum       3/5/2018
   44834        4/19/2016        Medium           43          11752.93   Delivery Truck       71.3         British Columbia       Small Business        Furniture                 Tables                 Jumbo Box        4/20/2016
   16935       12/15/2019    Not Specified        43           125.92     Express Air         0.7             Saskachewan           Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag       12/17/2019
   58247        9/22/2018    Not Specified         8          1132.94     Regular Air         1.1          British Columbia        Home Office       Office Supplies            Appliances               Small Box        9/22/2018
   45542        2/6/2017          High            40          4348.77    Delivery Truck       55.6              Ontario             Corporate           Furniture                 Tables                 Jumbo Box        2/7/2017
   37315        6/5/2019          Low             31          5057.46     Express Air         5.3          British Columbia         Corporate           Technology     Telephones and Communication      Small Box        6/12/2019
   27969        6/7/2017          Low             32           735.59    Delivery Truck       56.7               Yukon             Home Office       Office Supplies      Storage & Organization         Jumbo Drum       6/12/2017
   30565        7/25/2018        Medium           32          1909.97     Express Air         4.3             Saskachewan           Corporate           Technology         Computer Peripherals          Small Box        7/27/2018
   35687       11/17/2018    Not Specified        48           663.65     Express Air         5.3              Manitoba            Home Office          Furniture           Office Furnishings           Small Pack      11/18/2018
   41094        1/6/2016          Low              6           170.18     Regular Air         37.5           New Brunswick          Corporate        Office Supplies      Storage & Organization         Large Box        1/10/2016
    3012        5/3/2017        Critical          41           128.43     Regular Air         1.6             Saskachewan           Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        5/5/2017
   28225        1/22/2016       Critical           9           220.46     Regular Air         15.4         British Columbia         Corporate           Furniture           Office Furnishings           Small Box        1/22/2016
   19329        3/6/2017     Not Specified         6           247.98     Regular Air         5.3               Quebec              Corporate           Technology     Telephones and Communication      Small Box        3/7/2017
   20103        2/10/2017        Medium           30           336.98     Regular Air         6.7              Manitoba           Small Business        Technology            Office Machines            Medium Box       2/11/2017
   17632        2/20/2017        Medium           38          76.0984     Regular Air         0.7              Manitoba             Corporate        Office Supplies           Rubber Bands               Wrap Bag        2/21/2017
    3460        10/1/2018         High            27           163.96     Regular Air          5                Ontario              Consumer        Office Supplies      Storage & Organization         Small Box        10/3/2018
    4069        5/12/2019        Medium           30           83.95      Regular Air         0.9               Alberta              Consumer        Office Supplies           Rubber Bands               Wrap Bag        5/15/2019
    3232        10/8/2019       Critical           5           45.65      Regular Air          5                Nunavut           Small Business     Office Supplies   Binders and Binder Accessorie     Small Box       10/10/2019
    1925        3/4/2019        Critical           7         2005.5759    Regular Air         26.2         British Columbia         Corporate           Furniture           Chairs & Chairmats           Large Box        3/5/2019
   20961        1/13/2017    Not Specified        34          7070.47     Regular Air         26.2         British Columbia         Corporate           Technology            Copiers and Fax            Large Box        1/15/2017
   24608        8/14/2019        Medium           50           211.18     Regular Air         3.2                Yukon             Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        8/15/2019
   11108        8/16/2019    Not Specified        20           140.93     Regular Air         6.1             Saskachewan         Small Business     Office Supplies               Paper                 Small Box        8/18/2019
   13894        4/10/2019        Medium           50           1648.1     Regular Air         1.3               Ontario            Home Office          Technology     Telephones and Communication      Small Pack       4/11/2019
   12612       12/20/2017         Low             49           194.95     Express Air         0.5                Yukon             Home Office       Office Supplies              Labels                 Small Box       12/25/2017
   23782        1/9/2017          Low             46          22887.77   Delivery Truck       27.8              Quebec              Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       1/9/2017
